feat1,feat2,feat3
2.069138094974232,1.9275894096152286,1.932138472805983
1.9089631463554133,2.0104648719215974,2.215164842405798
2.0471212785153936,2.1765152303596236,2.160270261010124
2.2054007320174542,2.320728933356216,2.2377548915411487
2.3151631038614786,2.3245517327891205,2.292690446908152
2.419325685629166,2.111735981660563,1.9907265257606868
2.3041162868464498,2.3829800329999635,2.259617961559993
2.5051085942391276,2.2801509794396293,2.3599465960167203
2.349407013262259,2.180381819087243,2.295755865658167
2.4785088326516993,2.432031436468397,2.504384838953023
2.2913127403196705,2.427335869073882,2.6580929621407714
2.5454504902468202,2.608675348666284,2.4571371671873203
2.371896885147337,2.4026190438731243,2.2932635497552836
2.527100630626378,2.4904811863038177,2.4922516683617735
2.4301438032637677,2.4085337435011036,2.716967524734648
2.527986363546869,2.427424275814324,2.485180323001998
2.557071534979978,2.4717006294167287,2.71544023331274
2.5738884906483483,2.663944198415371,2.607005717141593
2.3776587400120013,2.633920248828229,2.478968814258986
2.258206997592227,2.4797417385311893,2.475614650983025
2.3434873936145912,2.417798927705461,2.4066293469749205
2.2488789115268943,2.4044798423638083,2.586244241967271
2.09909286350307,2.5011692154799934,2.5232866912517817
1.9674887322551198,2.4309376550115416,2.5535191957034744
2.0907075767818184,2.3922923246382766,2.43238082964977
1.9082295412397576,2.2426805737153126,2.4177675362692312
2.086784044775928,2.195480676998992,2.4056761452351894
1.9151045920984202,2.2748307161350976,2.376164142241324
1.891000958149323,2.2788571344286894,2.2537540223366324
1.754339443569518,2.098885438743888,2.450599592377784
1.7113756269187124,2.085335044169946,2.276172429274369
1.8047348472576283,2.012726609870846,2.4122109405437997
1.633698330609885,1.7537673154254416,2.2847199814425934
1.4124751130323216,1.7776511041125072,1.9891702639694935
1.5645149877458717,1.8009985639113524,2.088712323269901
1.5334839751027376,1.7463545410788142,2.1667493223236947
1.5176759851052237,1.8425681515611603,2.1744868195145926
1.6023688357920323,1.7172132499909054,1.9906022196621274
1.5149495943849451,1.6655990317373808,1.9924513679048776
1.5170211538523664,1.5634398181303375,1.84844852341155
1.5891776193033798,1.6530354231273958,1.97445182858364
1.5574836189485295,1.767527682618843,1.8539373679700037
1.5987092559546379,1.7036635181447268,1.9042214961162274
1.602997371026175,1.7183913232021977,1.8279402014246413
1.653149412265577,1.563014317224121,1.5656119012252714
1.7303605696644562,1.5932012322504183,1.8612661933114967
1.7901512731394642,1.669558036884929,1.8605457431149683
1.7128952851354957,1.7106413618296026,1.6487148601904094
1.9620172980039654,1.6553836280176342,1.7125381098961996
2.0696013335754837,1.7602536402011766,1.5963847738069104
2.051940935381084,1.6980894187590687,1.7424839581149683
2.1356248574812757,1.8384088937779899,1.7173813259123212
2.13937219302275,1.79303327654801,1.8756440234556502
2.1527266244026992,1.6951087620660723,1.7257435036776918
2.202113448486561,1.7446416781078748,1.6823232880528658
2.2459388213683478,1.8497359357274823,1.7147797204628301
2.313897708644138,1.9113956371600946,1.699230288055735
2.3868554748743995,1.8793835154171008,1.7528741675387223
2.558972491262915,2.0599852328859587,1.8735959359360517
2.5928709502449627,2.1827646608980205,1.847596580850131
2.484900496166848,2.1092921464118457,1.7427442002224276
2.4737204138383895,2.2297606254949884,1.7948871585891215
2.4891281200119577,2.3791088555585214,1.6210962928965693
2.5077320779943646,2.2135776878241056,1.9262396024583326
2.6375236005703,2.2642642786899603,1.9281368693414314
2.381354756895033,2.377172783576679,1.962567413218461
2.497673664916051,2.394542339220217,2.1318100939401083
2.517287211859692,2.534766389134098,1.9960075949252607
2.386977226211133,2.5326498455489217,2.142164548753774
2.2482761348350464,2.590036861764543,2.0727289417173433
2.607005144449144,2.552143952183725,2.146977250007626
2.2035641554532255,2.5612310694772904,2.2118785343387333
2.283063505561382,2.662950849595171,2.144438211236591
2.270022278487578,2.7559679145261984,2.4233982457996857
2.191036352755189,2.7083396504932677,2.4635080844093524
2.010513277858035,2.5865624602575163,2.3812834040425646
1.8846140778105938,2.487170496716278,2.591358215514782
1.8773723819727055,2.6897331062962717,2.539807515724112
2.0126902449199124,2.6517672338755243,2.45896302625417
1.7695587159026231,2.662103776754988,2.4398668987466654
1.7247834004624667,2.568945777780979,2.7810218083616816
1.9149804571662525,2.68703990358922,2.6084112623926674
1.6026934648813602,2.6445105368815702,2.693712279661522
1.5868090335573466,2.503528303546715,2.8532372763890734
1.8615347833188949,2.496322138613917,2.652289430687245
1.6645439812642226,2.2736284701380356,2.668955848139139
1.6348396631722977,2.3119446123228005,2.7683490649612934
1.7026247749296326,2.2869932825622654,2.8573342865784443
1.4004516350620544,2.1588243229167325,2.8199045966941947
1.480751138237878,2.1288879062147226,2.8242907380956366
1.6981432918532646,2.2578361846103707,2.8146174296452253
1.5724623329476126,2.1398224834488992,2.7176082402234307
1.7416282456312522,2.0948147513100985,2.606191330441963
1.7482284586387158,2.159760231396516,2.6936523345688403
1.7317318443268526,1.9690187556337553,2.5206873446719396
2.0441400387258546,1.9761864613104942,2.5779034108515115
1.7766122993852698,1.9587927559638627,2.846565291420682
1.8690434778120546,1.8701974837282165,2.5945808262131127
2.0494902609332977,2.0001519494597644,2.59820743519257
2.006216891015187,1.7593424158370852,2.497642574922472
2.211591093673518,1.8557936523002945,2.459956683618141
2.1993666230456737,1.7155988912909097,2.385504810404095
2.3217732906588893,1.740507753263122,2.6469699936268447
2.250532627850326,1.6578225509613043,2.569800811444891
2.496994301114352,1.6952651671325112,2.3031739640282916
2.3531226379733052,1.7584102253756186,2.3313393757254524
2.5802300548960417,1.631401254721482,2.4082441341699217
2.381944662992847,1.612472614708765,2.1965532930299356
2.5192948122126366,1.7976239290954366,2.1485332437710842
2.6344844860890624,1.6836601209335917,2.140579408560798
2.5849837692551954,1.9027698457373239,1.9326838891143006
2.702381408821984,1.813113972848748,1.992997556639178
2.7400107361567985,1.8037848132087535,2.078153487500014
2.519943502908147,1.9373063931111076,2.0362182159352336
2.6343545355542433,1.9708586369043848,1.948889056438999
2.6889466631962513,1.891101482476758,1.9958135062075595
